,fileid
0,20180515-1430-COMMITTEE-DROI_de_42_0
1,20150114-0900-PLENARY-13_de_54_1
2,20181015-1600-COMMITTEE-IMCO_de_119_1
3,20180911-0900-PLENARY_de_1484_0
4,20100610-1500-COMMITTEE-LIBE_de_191_1
5,20190930-1700-COMMITTEE-AFET_de_108_1
6,20141117-1500-COMMITTEE-AFET_de_40_1
7,20141219-1000-SPECIAL-UNKN_de_221_2
8,20090930-1400-COMMITTEE-CONT_de_180_0
9,20130528-0900-COMMITTEE-INTA_de_75_1
10,20130917-0900-COMMITTEE-PETI_de_164_0
11,20200218-0900-COMMITTEE-DROI_de_124_1
12,20091110-1500-COMMITTEE-ECON_de_162_0
13,20111208-0900-COMMITTEE-CONT_de_227_0
14,20100830-1500-COMMITTEE-AGRI_de_67_0
15,20111109-1500-COMMITTEE-AFCO-LIBE_de_351_1
16,20180829-1500-COMMITTEE-EMPL_de_57_1
17,20130617-1100-SPECIAL-UNKN2_de_48_0
18,20120507-1500-COMMITTEE-TRAN_de_74_1
19,20150119-1500-COMMITTEE-CULT_de_229_0
20,20170530-1130-COMMITTEE-ECON_de_61_0
21,20091124-0900-PLENARY-3_de_68_0
22,20170112-1500-COMMITTEE-LIBE_de_11_1
23,20161108-0900-COMMITTEE-IMCO_de_339_0
24,20161128-1500-COMMITTEE-LIBE_de_57_0
25,20110316-1500-COMMITTEE-IMCO_de_184_0
26,20150707-0900-PLENARY-15_de_90_1
27,20190207-1030-COMMITTEE-EMPL_de_51_0
28,20191219-0900-PLENARY_de_258_0
29,20100616-0900-PLENARY-11_de_87_1
30,20120530-1700-COMMITTEE-PECH_de_76_1
31,20110831-0900-COMMITTEE-ECON_de_348_0
32,20121106-0900-COMMITTEE-INTA_de_391_0
33,20190925-1430-COMMITTEE-CONT_de_241_0
34,20180320-0945-COMMITTEE-ECON_de_119_1
35,20170914-1000-COMMITTEE-BUDG_de_57_0
36,20140317-1500-COMMITTEE-ITRE_de_111_0
37,20110831-0900-COMMITTEE-ITRE_de_42_0
